"Nombre de la Olla Comun";"Ubicacion GPS";"_Ubicacion GPS_latitude";"_Ubicacion GPS_longitude";"_Ubicacion GPS_altitude";"_Ubicacion GPS_precision";"_uuid"
"Olla Común Niño Jesús";"";"";"";"";"";"c30bf0ee-c247-44f0-b960-b683f83eb646"
"Olla común Sector F Santa Rosa";"";"";"";"";"";"900b1356-0a16-4957-bb70-05ee0c49a3d3"
"Sol Radiante";"-12.093042 -76.88904 0 15.44080638885498";"-12.093042";"-76.88904";"0";"15.44080638885498";"ecadad4e-abc0-46e6-9707-1d4ebae460c7"
"Los Linderos";"-12.094971 -76.886939 0 45.350807189941406";"-12.094971";"-76.886939";"0";"45.350807189941406";"aff61607-84bf-479e-99aa-07291aa9ddfd"
"Olla Bella Esmeralda";"-12.107129 -76.879143 0 1";"-12.107129";"-76.879143";"0";"1";"ceb758b8-7bb9-401a-8ec4-97520b7f4b8c"
"Olla común Unidos Por Una Causa";"-12.10305 -76.879453 0 13.138015747070312";"-12.10305";"-76.879453";"0";"13.138015747070312";"96ac30d0-6813-4939-bdac-f57c1aed1d96"
"Camino al Bicentenario";"-12.101108 -76.882601 0 14.286436080932617";"-12.101108";"-76.882601";"0";"14.286436080932617";"a6730f94-f0c4-4d2d-98a0-df8618bd9163"
"Olla Paraiso Pampachica";"-12.170945 -76.866381 0 226.07037353515625";"-12.170945";"-76.866381";"0";"226.07037353515625";"f403cb5e-936c-40fa-9d2f-bd891eb719c7"
"Olla Santísima Cruz Paul Poblet Lind";"-12.085063 -76.875772 0 0";"-12.085063";"-76.875772";"0";"0";"dff4c1c3-0226-44d1-b50e-b8aa06d01d68"
"Olla Mirador de Ángeles";"-12.086531 -76.87661 0 0";"-12.086531";"-76.87661";"0";"0";"41e2e266-d42a-4005-94db-2b3bd24419a8"
"Olla Jireh Parte Baja";"-12.092803 -76.871719 0 0";"-12.092803";"-76.871719";"0";"0";"0d71e728-9e9b-4dd2-94bd-44aa9701f3ef"
"Olla Virgen del Rosario I";"-12.095407 -76.883612 0 0";"-12.095407";"-76.883612";"0";"0";"f34767b9-d585-4c62-a76f-15d51a795122"
"Olla Solidaridad de La Hoyada";"-12.094396 -76.882148 0 0";"-12.094396";"-76.882148";"0";"0";"32c9a96e-e892-4b9f-a298-734076c21582"
"Olla La Esperanza de Brisas";"-12.091829 -76.879793 0 0";"-12.091829";"-76.879793";"0";"0";"94559879-e34a-4955-8695-2117f6a448ae"
"Olla Mujeres Valiosas";"-12.101525 -76.880053 0 0";"-12.101525";"-76.880053";"0";"0";"dbd35f26-d122-4707-a457-6fe0929b9850"
"Olla Divino Jesus";"-12.100692 -76.881127 0 0";"-12.100692";"-76.881127";"0";"0";"7145c890-f48e-4525-a25d-4538bd5bfaac"
"Olla Señor de los Milagros";"-12.095869 -76.887677 0 0";"-12.095869";"-76.887677";"0";"0";"f9a6de2a-98ee-4019-95dc-ef4a76e5c2db"
